Pair	Person	Object	Image
DF	Detective	Flag	Detective + Flag
DG	Detective	Globe	Detective + Globe
DH	Detective	Hammer	Detective + Hammer
DJ	Detective	Jetpack	Detective + Jetpack
DK	Detective	Key	Detective + Key
DL	Detective	Ladder	Detective + Ladder
DM	Detective	Mask	Detective + Mask
DN	Detective	Net	Detective + Net
DP	Detective	Pan	Detective + Pan
DQ	Detective	Quill	Detective + Quill
DR	Detective	Rope	Detective + Rope
DS	Detective	Sword	Detective + Sword
DT	Detective	Torch	Detective + Torch
DU	Detective	Umbrella	Detective + Umbrella
DV	Detective	Vase	Detective + Vase
DW	Detective	Wheel	Detective + Wheel
DX	Detective	Xylophone	Detective + Xylophone
DY	Detective	Yo-yo	Detective + Yo-yo
DZ	Detective	Zipper	Detective + Zipper
EA	Engineer	Axe	Engineer + Axe
EB	Engineer	Ball	Engineer + Ball
EC	Engineer	Camera	Engineer + Camera
ED	Engineer	Drum	Engineer + Drum
EE	Engineer	Egg	Engineer + Egg
EF	Engineer	Flag	Engineer + Flag
EG	Engineer	Globe	Engineer + Globe
EH	Engineer	Hammer	Engineer + Hammer
EJ	Engineer	Jetpack	Engineer + Jetpack
EK	Engineer	Key	Engineer + Key
EL	Engineer	Ladder	Engineer + Ladder
EM	Engineer	Mask	Engineer + Mask
EN	Engineer	Net	Engineer + Net
EP	Engineer	Pan	Engineer + Pan
EQ	Engineer	Quill	Engineer + Quill
ER	Engineer	Rope	Engineer + Rope
ES	Engineer	Sword	Engineer + Sword
ET	Engineer	Torch	Engineer + Torch
EU	Engineer	Umbrella	Engineer + Umbrella
EV	Engineer	Vase	Engineer + Vase
EW	Engineer	Wheel	Engineer + Wheel
EX	Engineer	Xylophone	Engineer + Xylophone
EY	Engineer	Yo-yo	Engineer + Yo-yo
EZ	Engineer	Zipper	Engineer + Zipper
FA	Firefighter	Axe	Firefighter + Axe
FB	Firefighter	Ball	Firefighter + Ball
FC	Firefighter	Camera	Firefighter + Camera
FD	Firefighter	Drum	Firefighter + Drum
FE	Firefighter	Egg	Firefighter + Egg
FF	Firefighter	Flag	Firefighter + Flag
FG	Firefighter	Globe	Firefighter + Globe
FH	Firefighter	Hammer	Firefighter + Hammer
FJ	Firefighter	Jetpack	Firefighter + Jetpack
FK	Firefighter	Key	Firefighter + Key
FL	Firefighter	Ladder	Firefighter + Ladder
FM	Firefighter	Mask	Firefighter + Mask
FN	Firefighter	Net	Firefighter + Net
FP	Firefighter	Pan	Firefighter + Pan
FQ	Firefighter	Quill	Firefighter + Quill
FR	Firefighter	Rope	Firefighter + Rope
FS	Firefighter	Sword	Firefighter + Sword
FT	Firefighter	Torch	Firefighter + Torch
FU	Firefighter	Umbrella	Firefighter + Umbrella
FV	Firefighter	Vase	Firefighter + Vase
FW	Firefighter	Wheel	Firefighter + Wheel
FX	Firefighter	Xylophone	Firefighter + Xylophone
FY	Firefighter	Yo-yo	Firefighter + Yo-yo
FZ	Firefighter	Zipper	Firefighter + Zipper
GA	Guitarist	Axe	Guitarist + Axe
GB	Guitarist	Ball	Guitarist + Ball
GC	Guitarist	Camera	Guitarist + Camera
GD	Guitarist	Drum	Guitarist + Drum
GE	Guitarist	Egg	Guitarist + Egg
GF	Guitarist	Flag	Guitarist + Flag
GG	Guitarist	Globe	Guitarist + Globe
GH	Guitarist	Hammer	Guitarist + Hammer
GJ	Guitarist	Jetpack	Guitarist + Jetpack
GK	Guitarist	Key	Guitarist + Key
GL	Guitarist	Ladder	Guitarist + Ladder
GM	Guitarist	Mask	Guitarist + Mask
GN	Guitarist	Net	Guitarist + Net
GP	Guitarist	Pan	Guitarist + Pan
GQ	Guitarist	Quill	Guitarist + Quill
GR	Guitarist	Rope	Guitarist + Rope
GS	Guitarist	Sword	Guitarist + Sword
GT	Guitarist	Torch	Guitarist + Torch
GU	Guitarist	Umbrella	Guitarist + Umbrella
GV	Guitarist	Vase	Guitarist + Vase
GW	Guitarist	Wheel	Guitarist + Wheel
GX	Guitarist	Xylophone	Guitarist + Xylophone
GY	Guitarist	Yo-yo	Guitarist + Yo-yo
GZ	Guitarist	Zipper	Guitarist + Zipper
HA	Hacker	Axe	Hacker + Axe
HB	Hacker	Ball	Hacker + Ball
HC	Hacker	Camera	Hacker + Camera
HD	Hacker	Drum	Hacker + Drum
HE	Hacker	Egg	Hacker + Egg
HF	Hacker	Flag	Hacker + Flag
HG	Hacker	Globe	Hacker + Globe
HH	Hacker	Hammer	Hacker + Hammer
HJ	Hacker	Jetpack	Hacker + Jetpack
HK	Hacker	Key	Hacker + Key
HL	Hacker	Ladder	Hacker + Ladder
HM	Hacker	Mask	Hacker + Mask
HN	Hacker	Net	Hacker + Net
HP	Hacker	Pan	Hacker + Pan
HQ	Hacker	Quill	Hacker + Quill
HR	Hacker	Rope	Hacker + Rope
HS	Hacker	Sword	Hacker + Sword
HT	Hacker	Torch	Hacker + Torch
HU	Hacker	Umbrella	Hacker + Umbrella
HV	Hacker	Vase	Hacker + Vase
HW	Hacker	Wheel	Hacker + Wheel
HX	Hacker	Xylophone	Hacker + Xylophone
HY	Hacker	Yo-yo	Hacker + Yo-yo
HZ	Hacker	Zipper	Hacker + Zipper
JA	Juggler	Axe	Juggler + Axe
JB	Juggler	Ball	Juggler + Ball
JC	Juggler	Camera	Juggler + Camera
JD	Juggler	Drum	Juggler + Drum
JE	Juggler	Egg	Juggler + Egg
JF	Juggler	Flag	Juggler + Flag
JG	Juggler	Globe	Juggler + Globe
JH	Juggler	Hammer	Juggler + Hammer
JJ	Juggler	Jetpack	Juggler + Jetpack
JK	Juggler	Key	Juggler + Key
JL	Juggler	Ladder	Juggler + Ladder
JM	Juggler	Mask	Juggler + Mask
JN	Juggler	Net	Juggler + Net
JP	Juggler	Pan	Juggler + Pan
JQ	Juggler	Quill	Juggler + Quill
JR	Juggler	Rope	Juggler + Rope
JS	Juggler	Sword	Juggler + Sword
JT	Juggler	Torch	Juggler + Torch
JU	Juggler	Umbrella	Juggler + Umbrella
JV	Juggler	Vase	Juggler + Vase
JW	Juggler	Wheel	Juggler + Wheel
JX	Juggler	Xylophone	Juggler + Xylophone
JY	Juggler	Yo-yo	Juggler + Yo-yo
JZ	Juggler	Zipper	Juggler + Zipper
KA	King	Axe	King + Axe
KB	King	Ball	King + Ball
KC	King	Camera	King + Camera
KD	King	Drum	King + Drum
KE	King	Egg	King + Egg
KF	King	Flag	King + Flag
KG	King	Globe	King + Globe
KH	King	Hammer	King + Hammer
KJ	King	Jetpack	King + Jetpack
KK	King	Key	King + Key
KL	King	Ladder	King + Ladder
KM	King	Mask	King + Mask
KN	King	Net	King + Net
KP	King	Pan	King + Pan
KQ	King	Quill	King + Quill
KR	King	Rope	King + Rope
KS	King	Sword	King + Sword
KT	King	Torch	King + Torch
KU	King	Umbrella	King + Umbrella
KV	King	Vase	King + Vase
KW	King	Wheel	King + Wheel
KX	King	Xylophone	King + Xylophone
KY	King	Yo-yo	King + Yo-yo
KZ	King	Zipper	King + Zipper
LA	Lifeguard	Axe	Lifeguard + Axe
LB	Lifeguard	Ball	Lifeguard + Ball
LC	Lifeguard	Camera	Lifeguard + Camera
LD	Lifeguard	Drum	Lifeguard + Drum
LE	Lifeguard	Egg	Lifeguard + Egg
LF	Lifeguard	Flag	Lifeguard + Flag
LG	Lifeguard	Globe	Lifeguard + Globe
LH	Lifeguard	Hammer	Lifeguard + Hammer
LJ	Lifeguard	Jetpack	Lifeguard + Jetpack
LK	Lifeguard	Key	Lifeguard + Key
LL	Lifeguard	Ladder	Lifeguard + Ladder
LM	Lifeguard	Mask	Lifeguard + Mask
LN	Lifeguard	Net	Lifeguard + Net
LP	Lifeguard	Pan	Lifeguard + Pan
LQ	Lifeguard	Quill	Lifeguard + Quill
LR	Lifeguard	Rope	Lifeguard + Rope
LS	Lifeguard	Sword	Lifeguard + Sword
LT	Lifeguard	Torch	Lifeguard + Torch
LU	Lifeguard	Umbrella	Lifeguard + Umbrella
LV	Lifeguard	Vase	Lifeguard + Vase
LW	Lifeguard	Wheel	Lifeguard + Wheel
LX	Lifeguard	Xylophone	Lifeguard + Xylophone
LY	Lifeguard	Yo-yo	Lifeguard + Yo-yo
LZ	Lifeguard	Zipper	Lifeguard + Zipper
MA	Magician	Axe	Magician + Axe
MB	Magician	Ball	Magician + Ball
MC	Magician	Camera	Magician + Camera
MD	Magician	Drum	Magician + Drum
ME	Magician	Egg	Magician + Egg
MF	Magician	Flag	Magician + Flag
MG	Magician	Globe	Magician + Globe
MH	Magician	Hammer	Magician + Hammer
MJ	Magician	Jetpack	Magician + Jetpack
MK	Magician	Key	Magician + Key
ML	Magician	Ladder	Magician + Ladder
MM	Magician	Mask	Magician + Mask
MN	Magician	Net	Magician + Net
MP	Magician	Pan	Magician + Pan
MQ	Magician	Quill	Magician + Quill
MR	Magician	Rope	Magician + Rope
MS	Magician	Sword	Magician + Sword
MT	Magician	Torch	Magician + Torch
MU	Magician	Umbrella	Magician + Umbrella
MV	Magician	Vase	Magician + Vase
MW	Magician	Wheel	Magician + Wheel
MX	Magician	Xylophone	Magician + Xylophone
MY	Magician	Yo-yo	Magician + Yo-yo
MZ	Magician	Zipper	Magician + Zipper
NA	Ninja	Axe	Ninja + Axe
NB	Ninja	Ball	Ninja + Ball
NC	Ninja	Camera	Ninja + Camera
ND	Ninja	Drum	Ninja + Drum
NE	Ninja	Egg	Ninja + Egg
NF	Ninja	Flag	Ninja + Flag
NG	Ninja	Globe	Ninja + Globe
NH	Ninja	Hammer	Ninja + Hammer
NJ	Ninja	Jetpack	Ninja + Jetpack
NK	Ninja	Key	Ninja + Key
NL	Ninja	Ladder	Ninja + Ladder
NM	Ninja	Mask	Ninja + Mask
NN	Ninja	Net	Ninja + Net
NP	Ninja	Pan	Ninja + Pan
NQ	Ninja	Quill	Ninja + Quill
NR	Ninja	Rope	Ninja + Rope
NS	Ninja	Sword	Ninja + Sword
NT	Ninja	Torch	Ninja + Torch
NU	Ninja	Umbrella	Ninja + Umbrella
NV	Ninja	Vase	Ninja + Vase
NW	Ninja	Wheel	Ninja + Wheel
NX	Ninja	Xylophone	Ninja + Xylophone
NY	Ninja	Yo-yo	Ninja + Yo-yo
NZ	Ninja	Zipper	Ninja + Zipper
PA	Pilot	Axe	Pilot + Axe
PB	Pilot	Ball	Pilot + Ball
PC	Pilot	Camera	Pilot + Camera
PD	Pilot	Drum	Pilot + Drum
PE	Pilot	Egg	Pilot + Egg
PF	Pilot	Flag	Pilot + Flag
PG	Pilot	Globe	Pilot + Globe
PH	Pilot	Hammer	Pilot + Hammer
PJ	Pilot	Jetpack	Pilot + Jetpack
PK	Pilot	Key	Pilot + Key
PL	Pilot	Ladder	Pilot + Ladder
PM	Pilot	Mask	Pilot + Mask
PN	Pilot	Net	Pilot + Net
PP	Pilot	Pan	Pilot + Pan
PQ	Pilot	Quill	Pilot + Quill
PR	Pilot	Rope	Pilot + Rope
PS	Pilot	Sword	Pilot + Sword
PT	Pilot	Torch	Pilot + Torch
PU	Pilot	Umbrella	Pilot + Umbrella
PV	Pilot	Vase	Pilot + Vase
PW	Pilot	Wheel	Pilot + Wheel
PX	Pilot	Xylophone	Pilot + Xylophone
PY	Pilot	Yo-yo	Pilot + Yo-yo
PZ	Pilot	Zipper	Pilot + Zipper
QA	Queen	Axe	Queen + Axe
QB	Queen	Ball	Queen + Ball
QC	Queen	Camera	Queen + Camera
QD	Queen	Drum	Queen + Drum
QE	Queen	Egg	Queen + Egg
QF	Queen	Flag	Queen + Flag
QG	Queen	Globe	Queen + Globe
QH	Queen	Hammer	Queen + Hammer
QJ	Queen	Jetpack	Queen + Jetpack
QK	Queen	Key	Queen + Key
QL	Queen	Ladder	Queen + Ladder
QM	Queen	Mask	Queen + Mask
QN	Queen	Net	Queen + Net
QP	Queen	Pan	Queen + Pan
QQ	Queen	Quill	Queen + Quill
QR	Queen	Rope	Queen + Rope
QS	Queen	Sword	Queen + Sword
QT	Queen	Torch	Queen + Torch
QU	Queen	Umbrella	Queen + Umbrella
QV	Queen	Vase	Queen + Vase
QW	Queen	Wheel	Queen + Wheel
QX	Queen	Xylophone	Queen + Xylophone
QY	Queen	Yo-yo	Queen + Yo-yo
QZ	Queen	Zipper	Queen + Zipper
RA	Racer	Axe	Racer + Axe
RB	Racer	Ball	Racer + Ball
RC	Racer	Camera	Racer + Camera
RD	Racer	Drum	Racer + Drum
RE	Racer	Egg	Racer + Egg
RF	Racer	Flag	Racer + Flag
RG	Racer	Globe	Racer + Globe
RH	Racer	Hammer	Racer + Hammer
RJ	Racer	Jetpack	Racer + Jetpack
RK	Racer	Key	Racer + Key
RL	Racer	Ladder	Racer + Ladder
RM	Racer	Mask	Racer + Mask
RN	Racer	Net	Racer + Net
RP	Racer	Pan	Racer + Pan
RQ	Racer	Quill	Racer + Quill
RR	Racer	Rope	Racer + Rope
RS	Racer	Sword	Racer + Sword
RT	Racer	Torch	Racer + Torch
RU	Racer	Umbrella	Racer + Umbrella
RV	Racer	Vase	Racer + Vase
RW	Racer	Wheel	Racer + Wheel
RX	Racer	Xylophone	Racer + Xylophone
RY	Racer	Yo-yo	Racer + Yo-yo
RZ	Racer	Zipper	Racer + Zipper
SA	Samurai	Axe	Samurai + Axe
SB	Samurai	Ball	Samurai + Ball
SC	Samurai	Camera	Samurai + Camera
SD	Samurai	Drum	Samurai + Drum
SE	Samurai	Egg	Samurai + Egg
SF	Samurai	Flag	Samurai + Flag
SG	Samurai	Globe	Samurai + Globe
SH	Samurai	Hammer	Samurai + Hammer
SJ	Samurai	Jetpack	Samurai + Jetpack
SK	Samurai	Key	Samurai + Key
SL	Samurai	Ladder	Samurai + Ladder
SM	Samurai	Mask	Samurai + Mask
SN	Samurai	Net	Samurai + Net
SP	Samurai	Pan	Samurai + Pan
SQ	Samurai	Quill	Samurai + Quill
SR	Samurai	Rope	Samurai + Rope
SS	Samurai	Sword	Samurai + Sword
ST	Samurai	Torch	Samurai + Torch
SU	Samurai	Umbrella	Samurai + Umbrella
SV	Samurai	Vase	Samurai + Vase
SW	Samurai	Wheel	Samurai + Wheel
SX	Samurai	Xylophone	Samurai + Xylophone
SY	Samurai	Yo-yo	Samurai + Yo-yo
SZ	Samurai	Zipper	Samurai + Zipper
TA	Teacher	Axe	Teacher + Axe
TB	Teacher	Ball	Teacher + Ball
TC	Teacher	Camera	Teacher + Camera
TD	Teacher	Drum	Teacher + Drum
TE	Teacher	Egg	Teacher + Egg
TF	Teacher	Flag	Teacher + Flag
TG	Teacher	Globe	Teacher + Globe
TH	Teacher	Hammer	Teacher + Hammer
TJ	Teacher	Jetpack	Teacher + Jetpack
TK	Teacher	Key	Teacher + Key
TL	Teacher	Ladder	Teacher + Ladder
TM	Teacher	Mask	Teacher + Mask
TN	Teacher	Net	Teacher + Net
TP	Teacher	Pan	Teacher + Pan
TQ	Teacher	Quill	Teacher + Quill
TR	Teacher	Rope	Teacher + Rope
TS	Teacher	Sword	Teacher + Sword
TT	Teacher	Torch	Teacher + Torch
TU	Teacher	Umbrella	Teacher + Umbrella
TV	Teacher	Vase	Teacher + Vase
TW	Teacher	Wheel	Teacher + Wheel
TX	Teacher	Xylophone	Teacher + Xylophone
TY	Teacher	Yo-yo	Teacher + Yo-yo
TZ	Teacher	Zipper	Teacher + Zipper
UA	Umpire	Axe	Umpire + Axe
UB	Umpire	Ball	Umpire + Ball
UC	Umpire	Camera	Umpire + Camera
UD	Umpire	Drum	Umpire + Drum
UE	Umpire	Egg	Umpire + Egg
UF	Umpire	Flag	Umpire + Flag
UG	Umpire	Globe	Umpire + Globe
UH	Umpire	Hammer	Umpire + Hammer
UJ	Umpire	Jetpack	Umpire + Jetpack
UK	Umpire	Key	Umpire + Key
UL	Umpire	Ladder	Umpire + Ladder
UM	Umpire	Mask	Umpire + Mask
UN	Umpire	Net	Umpire + Net
UP	Umpire	Pan	Umpire + Pan
UQ	Umpire	Quill	Umpire + Quill
UR	Umpire	Rope	Umpire + Rope
US	Umpire	Sword	Umpire + Sword
UT	Umpire	Torch	Umpire + Torch
UU	Umpire	Umbrella	Umpire + Umbrella
UV	Umpire	Vase	Umpire + Vase
UW	Umpire	Wheel	Umpire + Wheel
UX	Umpire	Xylophone	Umpire + Xylophone
UY	Umpire	Yo-yo	Umpire + Yo-yo
UZ	Umpire	Zipper	Umpire + Zipper
VA	Violinist	Axe	Violinist + Axe
VB	Violinist	Ball	Violinist + Ball
VC	Violinist	Camera	Violinist + Camera
VD	Violinist	Drum	Violinist + Drum
VE	Violinist	Egg	Violinist + Egg
VF	Violinist	Flag	Violinist + Flag
VG	Violinist	Globe	Violinist + Globe
VH	Violinist	Hammer	Violinist + Hammer
VJ	Violinist	Jetpack	Violinist + Jetpack
VK	Violinist	Key	Violinist + Key
VL	Violinist	Ladder	Violinist + Ladder
VM	Violinist	Mask	Violinist + Mask
VN	Violinist	Net	Violinist + Net
VP	Violinist	Pan	Violinist + Pan
VQ	Violinist	Quill	Violinist + Quill
VR	Violinist	Rope	Violinist + Rope
VS	Violinist	Sword	Violinist + Sword
VT	Violinist	Torch	Violinist + Torch
VU	Violinist	Umbrella	Violinist + Umbrella
VV	Violinist	Vase	Violinist + Vase
VW	Violinist	Wheel	Violinist + Wheel
VX	Violinist	Xylophone	Violinist + Xylophone
VY	Violinist	Yo-yo	Violinist + Yo-yo
VZ	Violinist	Zipper	Violinist + Zipper
WA	Wrestler	Axe	Wrestler + Axe
WB	Wrestler	Ball	Wrestler + Ball
WC	Wrestler	Camera	Wrestler + Camera
WD	Wrestler	Drum	Wrestler + Drum
WE	Wrestler	Egg	Wrestler + Egg
WF	Wrestler	Flag	Wrestler + Flag
WG	Wrestler	Globe	Wrestler + Globe
WH	Wrestler	Hammer	Wrestler + Hammer
WJ	Wrestler	Jetpack	Wrestler + Jetpack
WK	Wrestler	Key	Wrestler + Key
WL	Wrestler	Ladder	Wrestler + Ladder
WM	Wrestler	Mask	Wrestler + Mask
WN	Wrestler	Net	Wrestler + Net
WP	Wrestler	Pan	Wrestler + Pan
WQ	Wrestler	Quill	Wrestler + Quill
WR	Wrestler	Rope	Wrestler + Rope
WS	Wrestler	Sword	Wrestler + Sword
WT	Wrestler	Torch	Wrestler + Torch
WU	Wrestler	Umbrella	Wrestler + Umbrella
WV	Wrestler	Vase	Wrestler + Vase
WW	Wrestler	Wheel	Wrestler + Wheel
WX	Wrestler	Xylophone	Wrestler + Xylophone
WY	Wrestler	Yo-yo	Wrestler + Yo-yo
WZ	Wrestler	Zipper	Wrestler + Zipper
XA	X-ray tech	Axe	X-ray tech + Axe
XB	X-ray tech	Ball	X-ray tech + Ball
XC	X-ray tech	Camera	X-ray tech + Camera
XD	X-ray tech	Drum	X-ray tech + Drum
XE	X-ray tech	Egg	X-ray tech + Egg
XF	X-ray tech	Flag	X-ray tech + Flag
XG	X-ray tech	Globe	X-ray tech + Globe
XH	X-ray tech	Hammer	X-ray tech + Hammer
XJ	X-ray tech	Jetpack	X-ray tech + Jetpack
XK	X-ray tech	Key	X-ray tech + Key
XL	X-ray tech	Ladder	X-ray tech + Ladder
XM	X-ray tech	Mask	X-ray tech + Mask
XN	X-ray tech	Net	X-ray tech + Net
XP	X-ray tech	Pan	X-ray tech + Pan
XQ	X-ray tech	Quill	X-ray tech + Quill
XR	X-ray tech	Rope	X-ray tech + Rope
XS	X-ray tech	Sword	X-ray tech + Sword
XT	X-ray tech	Torch	X-ray tech + Torch
XU	X-ray tech	Umbrella	X-ray tech + Umbrella
XV	X-ray tech	Vase	X-ray tech + Vase
XW	X-ray tech	Wheel	X-ray tech + Wheel
XX	X-ray tech	Xylophone	X-ray tech + Xylophone
XY	X-ray tech	Yo-yo	X-ray tech + Yo-yo
XZ	X-ray tech	Zipper	X-ray tech + Zipper
YA	Yogi	Axe	Yogi + Axe
YB	Yogi	Ball	Yogi + Ball
YC	Yogi	Camera	Yogi + Camera
YD	Yogi	Drum	Yogi + Drum
YE	Yogi	Egg	Yogi + Egg
YF	Yogi	Flag	Yogi + Flag
YG	Yogi	Globe	Yogi + Globe
YH	Yogi	Hammer	Yogi + Hammer
YJ	Yogi	Jetpack	Yogi + Jetpack
YK	Yogi	Key	Yogi + Key
YL	Yogi	Ladder	Yogi + Ladder
YM	Yogi	Mask	Yogi + Mask
YN	Yogi	Net	Yogi + Net
YP	Yogi	Pan	Yogi + Pan
YQ	Yogi	Quill	Yogi + Quill
YR	Yogi	Rope	Yogi + Rope
YS	Yogi	Sword	Yogi + Sword
YT	Yogi	Torch	Yogi + Torch
YU	Yogi	Umbrella	Yogi + Umbrella
YV	Yogi	Vase	Yogi + Vase
YW	Yogi	Wheel	Yogi + Wheel
YX	Yogi	Xylophone	Yogi + Xylophone
YY	Yogi	Yo-yo	Yogi + Yo-yo
YZ	Yogi	Zipper	Yogi + Zipper
ZA	Zookeeper	Axe	Zookeeper + Axe
ZB	Zookeeper	Ball	Zookeeper + Ball
ZC	Zookeeper	Camera	Zookeeper + Camera
ZD	Zookeeper	Drum	Zookeeper + Drum
ZE	Zookeeper	Egg	Zookeeper + Egg
ZF	Zookeeper	Flag	Zookeeper + Flag
ZG	Zookeeper	Globe	Zookeeper + Globe
ZH	Zookeeper	Hammer	Zookeeper + Hammer
ZJ	Zookeeper	Jetpack	Zookeeper + Jetpack
ZK	Zookeeper	Key	Zookeeper + Key
ZL	Zookeeper	Ladder	Zookeeper + Ladder
ZM	Zookeeper	Mask	Zookeeper + Mask
ZN	Zookeeper	Net	Zookeeper + Net
ZP	Zookeeper	Pan	Zookeeper + Pan
ZQ	Zookeeper	Quill	Zookeeper + Quill
ZR	Zookeeper	Rope	Zookeeper + Rope
ZS	Zookeeper	Sword	Zookeeper + Sword
ZT	Zookeeper	Torch	Zookeeper + Torch
ZU	Zookeeper	Umbrella	Zookeeper + Umbrella
ZV	Zookeeper	Vase	Zookeeper + Vase
ZW	Zookeeper	Wheel	Zookeeper + Wheel
ZX	Zookeeper	Xylophone	Zookeeper + Xylophone
ZY	Zookeeper	Yo-yo	Zookeeper + Yo-yo
ZZ	Zookeeper	Zipper	Zookeeper + Zipper
